时间,刷题数目,平均分,累计用时,评分人,
2019/3/9,8,8.1,3hour,毛丽
2019/3/10,8,............
2019/2/28,8,7,1hour,毛丽
2019/3/11,8,8,1hour,毛丽
2019/3/14,4..40minutes,..
2019/3/17,7,8.8,2hour,毛丽
2019/3/18,7............
2019/3/19,8,8,1.5hours,毛丽
2019/3/21,4..............
